date,u_obs,v_obs,G,s_obs,gdp_real_level
2000-01-01,0.04,,-0.0005899267437870382,,13878.147
2000-02-01,0.040999999999999995,,0.0037865860986401236,,13964.252395604395
2000-03-01,0.04,,0.0077296219837374855,,14044.802604395603
2000-04-01,0.038,,0.012032964860979148,,14130.908
2000-05-01,0.04,,0.010560243658426009,,14135.656571428572
2000-06-01,0.04,,0.00909860340509947,,14140.563428571428
2000-07-01,0.04,,0.007625652824483131,,14145.312
2000-08-01,0.040999999999999995,,0.007826686845774592,,14173.768989130434
2000-09-01,0.039,,0.008023689910942454,,14202.225978260867
2000-10-01,0.039,,0.008152169869160016,,14229.765
2000-11-01,0.039,,0.0052383137086298775,,14214.04766304348
2000-12-01,0.039,0.037000000000000005,0.0023589433924080393,0.039,14198.837336956522
2001-01-01,0.042,0.038,-0.0005573213201962991,0.044000000000000004,14183.12
2001-02-01,0.042,0.037000000000000005,-0.00021727214765133725,0.039,14213.628822222225
2001-03-01,0.043,0.035,-8.912762670467561e-05,0.042,14241.185177777776
2001-04-01,0.044000000000000004,0.034,0.00024216985436208605,0.040999999999999995,14271.694
2001-05-01,0.043,0.032,-0.0028881979583694527,0.040999999999999995,14252.84410989011
2001-06-01,0.045,0.032,-0.006064458738751191,0.04,14233.36589010989
2001-07-01,0.046,0.033,-0.009198387927668729,0.040999999999999995,14214.516
2001-08-01,0.049,0.03,-0.010081648739463767,0.040999999999999995,14227.676847826087
2001-09-01,0.05,0.03,-0.010965765208709405,0.039,14240.837695652172
2001-10-01,0.053,0.027000000000000003,-0.011880520365524342,0.042,14253.574
2001-11-01,0.055,0.027999999999999997,-0.01087502515643508,0.039,14293.742923913043
2001-12-01,0.057,0.027000000000000003,-0.009967830574267818,0.037000000000000005,14332.616076086955
2002-01-01,0.057,0.027000000000000003,-0.008977833536841956,0.039,14372.785
2002-02-01,0.057,0.026000000000000002,-0.008678329831325294,0.038,14403.117811111111
2002-03-01,0.057,0.027000000000000003,-0.008586659110437031,0.036000000000000004,14430.515188888889
2002-04-01,0.059000000000000004,0.026000000000000002,-0.008295580583585269,0.038,14460.848
2002-05-01,0.057999999999999996,0.026000000000000002,-0.008765036455041907,0.037000000000000005,14480.22767032967
2002-06-01,0.057999999999999996,0.025,-0.009191732339148545,0.037000000000000005,14500.25332967033
2002-07-01,0.057999999999999996,0.025,-0.009664825276419884,0.039,14519.633
2002-08-01,0.057,0.026000000000000002,-0.011057122947471121,0.037000000000000005,14525.680358695652
2002-09-01,0.057,0.025,-0.01244959394245356,0.038,14531.727717391304
2002-10-01,0.057,0.026000000000000002,-0.013855656772659498,0.036000000000000004,14537.58
2002-11-01,0.059000000000000004,0.026000000000000002,-0.013891381163637136,0.036000000000000004,14563.37772826087
2002-12-01,0.06,0.024,-0.013987286332065975,0.038,14588.34327173913
2003-01-01,0.057999999999999996,0.026000000000000002,-0.014029174747022914,0.038,14614.141
2003-02-01,0.059000000000000004,0.024,-0.012792049600193152,0.037000000000000005,14658.721066666669
2003-03-01,0.059000000000000004,0.023,-0.01185763353535439,0.036000000000000004,14698.986933333332
2003-04-01,0.06,0.023,-0.010638063034368329,0.036000000000000004,14743.567
2003-05-01,0.061,0.025,-0.0069786698423728675,0.036000000000000004,14824.40710989011
2003-06-01,0.063,0.025,-0.003168243876040606,0.036000000000000004,14907.941890109889
2003-07-01,0.062,0.022000000000000002,0.00043102081136175627,0.036000000000000004,14988.782
2003-08-01,0.061,0.024,0.002525812444344718,0.036000000000000004,15047.40502173913
2003-09-01,0.061,0.023,0.00460542600998788,0.036000000000000004,15106.02804347826
2003-10-01,0.06,0.025,0.0065452691185507415,0.036000000000000004,15162.76
2003-11-01,0.057999999999999996,0.025,0.0066441113734101035,0.036000000000000004,15191.711304347826
2003-12-01,0.057,0.025,0.006677961692947965,0.037000000000000005,15219.728695652177
2004-01-01,0.057,0.026000000000000002,0.006769670617239327,0.036000000000000004,15248.68
2004-02-01,0.055999999999999994,0.026000000000000002,0.007597433306411088,0.036000000000000004,15288.935714285715
2004-03-01,0.057999999999999996,0.026000000000000002,0.00824882429929515,0.038,15326.594285714284
2004-04-01,0.055999999999999994,0.026000000000000002,0.009063201795967611,0.037000000000000005,15366.85
2004-05-01,0.055999999999999994,0.027000000000000003,0.010376848528272573,0.036000000000000004,15414.905714285716
2004-06-01,0.055999999999999994,0.025,0.011784364311371235,0.037000000000000005,15464.563285714286
2004-07-01,0.055,0.027999999999999997,0.013078312940925497,0.037000000000000005,15512.619
2004-08-01,0.054000000000000006,0.026000000000000002,0.014701369279909358,0.037000000000000005,15565.946076086955
2004-09-01,0.054000000000000006,0.027999999999999997,0.01631268889063192,0.037000000000000005,15619.273152173912
2004-10-01,0.055,0.028999999999999998,0.01780258552184528,0.036000000000000004,15670.88
2004-11-01,0.054000000000000006,0.026000000000000002,0.019724982217329542,0.039,15729.458880434782
2004-12-01,0.054000000000000006,0.03,0.021513814185299303,0.037000000000000005,15786.148119565218
2005-01-01,0.053,0.027999999999999997,0.023409017310868564,0.038,15844.727
2005-02-01,0.054000000000000006,0.028999999999999998,0.023295690662190227,0.038,15871.612611111112
2005-03-01,0.052000000000000005,0.028999999999999998,0.02301582839927079,0.039,15895.896388888888
2005-04-01,0.052000000000000005,0.03,0.02289704887927885,0.037000000000000005,15922.782
2005-05-01,0.051,0.027999999999999997,0.02366901215019481,0.038,15963.926505494504
2005-06-01,0.05,0.028999999999999998,0.024520019594870074,0.038,16006.442494505494
2005-07-01,0.05,0.031,0.025278511840196836,0.037000000000000005,16047.587
2005-08-01,0.049,0.03,0.025339905076565496,0.039,16077.625663043478
2005-09-01,0.05,0.031,0.025397807567882957,0.04,16107.664326086957
2005-10-01,0.05,0.03,0.025392185472059618,0.037000000000000005,16136.734
2005-11-01,0.05,0.031,0.02810659285701328,0.037000000000000005,16209.887597826088
2005-12-01,0.049,0.031,0.030655699881083243,0.038,16280.681402173912
2006-01-01,0.047,0.031,0.03333020517955931,0.037000000000000005,16353.835
2006-02-01,0.048,0.031,0.03241236151559477,0.039,16368.410511111111
2006-03-01,0.047,0.034,0.03140762376441043,0.039,16381.57548888889
2006-04-01,0.047,0.034,0.030488272188245496,0.037000000000000005,16396.151
2006-05-01,0.046,0.032,0.029173803980154057,0.04,16404.256604395607
2006-06-01,0.046,0.033,0.027875553882423017,0.039,16412.632395604396
2006-07-01,0.047,0.031,0.02656058948811238,0.039,16420.738
2006-08-01,0.047,0.033,0.027643670146546742,0.038,16468.292
2006-09-01,0.045,0.033,0.028718412480340502,0.037000000000000005,16515.846
2006-10-01,0.044000000000000004,0.032,0.029692246313315063,0.039,16561.866
2006-11-01,0.045,0.033,0.028896712033159026,0.039,16578.654521739132
2006-12-01,0.044000000000000004,0.033,0.028067518372937687,0.037000000000000005,16594.90147826087
2007-01-01,0.046,0.033,0.02726996819023285,0.038,16611.69
2007-02-01,0.045,0.033,0.02756622503094411,0.037000000000000005,16646.69382222222
2007-03-01,0.044000000000000004,0.035,0.027654974823003775,0.038,16678.310177777777
2007-04-01,0.045,0.033,0.027942832364700437,0.038,16713.314
2007-05-01,0.044000000000000004,0.033,0.0280313114637419,0.038,16745.05235164835
2007-06-01,0.046,0.034,0.02817925611464726,0.037000000000000005,16777.848648351646
2007-07-01,0.047,0.032,0.028260444733794222,0.038,16809.587
2007-08-01,0.046,0.032,0.028566385683620084,0.039,16845.17095652174
2007-09-01,0.047,0.033,0.028867864335206547,0.038,16880.754913043478
2007-10-01,0.047,0.032,0.029097041505775707,0.038,16915.191
2007-11-01,0.047,0.033,0.025849290118349067,0.037000000000000005,16890.866782608697
2007-12-01,0.05,0.032,0.02264598503539573,0.036000000000000004,16867.327217391303
2008-01-01,0.05,0.032,0.01939414717553049,0.037000000000000005,16843.003
2008-02-01,0.049,0.03,0.019611768530422853,0.038,16877.167043956044
2008-03-01,0.051,0.03,0.019694949071894716,0.036000000000000004,16909.126956043958
2008-04-01,0.05,0.027999999999999997,0.019904654366632978,0.037000000000000005,16943.291
2008-05-01,0.054000000000000006,0.03,0.01636282718630704,0.035,16913.95165934066
2008-06-01,0.055999999999999994,0.027000000000000003,0.012760068144616601,0.037000000000000005,16883.63434065934
2008-07-01,0.057999999999999996,0.027000000000000003,0.009212111823636062,0.035,16854.295
2008-08-01,0.061,0.026000000000000002,2.42861286636753e-17,0.036000000000000004,16729.976576086956
2008-09-01,0.061,0.023,-0.008807733252696768,0.036000000000000004,16605.65815217391
2008-10-01,0.065,0.024,-0.017428223553302737,0.036000000000000004,16485.35
2008-11-01,0.068,0.023,-0.022608695015129805,0.036000000000000004,16422.309478260868
2008-12-01,0.073,0.023,-0.027679603416215573,0.036000000000000004,16361.30252173913
2009-01-01,0.078,0.02,-0.03288917949927834,0.036000000000000004,16298.262
2009-02-01,0.083,0.021,-0.03485383037657801,0.036000000000000004,16288.232811111113
2009-03-01,0.087,0.019,-0.03675923846132158,0.036000000000000004,16279.17418888889
2009-04-01,0.09,0.017,-0.038724611302979745,0.036000000000000004,16269.145
2009-05-01,0.094,0.019,-0.038916612078459215,0.032,16287.981043956044
2009-06-01,0.095,0.019,-0.03907144753129528,0.032,16307.444956043955
2009-07-01,0.095,0.017,-0.03926616434191385,0.032,16326.281
2009-08-01,0.096,0.018000000000000002,-0.03697968027821662,0.031,16385.74472826087
2009-09-01,0.098,0.019,-0.034706365880511784,0.032,16445.20845652174
2009-10-01,0.1,0.018000000000000002,-0.03256235354874305,0.031,16502.754
2009-11-01,0.099,0.019,-0.03228023536673462,0.031,16529.695695652175
2009-12-01,0.099,0.019,-0.03205326688426749,0.032,16555.768304347825
2010-01-01,0.098,0.021,-0.03177636791413776,0.03,16582.71
2010-02-01,0.098,0.02,-0.029798220937487227,0.031,16637.9768
2010-03-01,0.099,0.02,-0.028151552318155793,0.031,16687.8952
2010-04-01,0.099,0.024,-0.026194342677602962,0.03,16743.162
2010-05-01,0.096,0.022000000000000002,-0.02500463813639183,0.03,16785.72375824176
2010-06-01,0.094,0.021,-0.0237370604093716,0.033,16829.70424175824
2010-07-01,0.094,0.023,-0.022560394558673466,0.033,16872.266
2010-08-01,0.095,0.022000000000000002,-0.022141673016063235,0.031,16902.119673913043
2010-09-01,0.095,0.022000000000000002,-0.021726071181132702,0.031,16931.97334782609
2010-10-01,0.094,0.024,-0.02137035550029657,0.03,16960.864
2010-11-01,0.098,0.024,-0.023519060658811337,0.031,16947.307565217394
2010-12-01,0.09300000000000001,0.023,-0.025642581595002503,0.032,16934.18843478261
2011-01-01,0.091,0.023,-0.027792546822419772,0.031,16920.632
2011-02-01,0.09,0.024,-0.02681391618430224,0.031,16960.06468888889
2011-03-01,0.09,0.024,-0.026065197679917707,0.032,16995.68131111111
2011-04-01,0.091,0.024,-0.025096833939826976,0.03,17035.114
2011-05-01,0.09,0.024,-0.026519503310797922,0.032,17033.860923076925
2011-06-01,0.091,0.026000000000000002,-0.02794463040619995,0.032,17032.566076923074
2011-07-01,0.09,0.027000000000000003,-0.02936731078168553,0.031,17031.313
2011-08-01,0.09,0.025,-0.026939373961575298,0.032,17095.762673913043
2011-09-01,0.09,0.027999999999999997,-0.024525649546454864,0.032,17160.212347826087
2011-10-01,0.08800000000000001,0.027000000000000003,-0.02224673855629473,0.031,17222.583
2011-11-01,0.086,0.026000000000000002,-0.0207741450403672,0.032,17271.248619565216
2011-12-01,0.085,0.027999999999999997,-0.019400134176630467,0.031,17318.34438043478
2012-01-01,0.083,0.027999999999999997,-0.017943121323578334,0.031,17367.01
