unemployment rate,vacancy rate
3.7,3.73
3.4,3.72
3.4,4.09
3.1,4.05
3.0,4.09
3.2,3.88
3.1,3.85
3.1,3.88
3.3,4.01
3.5,3.97
3.5,3.92
3.1,3.85
3.2,4.09
3.1,4.14
2.9,4.01
2.9,3.97
3.0,3.88
3.0,3.64
3.2,3.48
3.4,3.73
3.1,4.16
3.0,4.2
2.8,4.36
2.7,4.05
2.9,4.18
2.6,4.34
2.6,4.44
2.7,4.14
2.5,4.12
2.5,3.83
2.6,3.53
2.7,3.46
2.9,3.38
3.1,3.05
3.5,2.75
4.5,2.33
4.9,2.37
5.2,2.24
5.7,2.16
5.9,2.09
5.9,2.05
5.6,2.05
5.8,2.02
6.0,1.98
6.1,1.92
5.7,1.98
5.3,2.14
5.0,2.11
4.9,2.38
4.7,2.38
4.6,2.64
4.7,2.7
4.3,2.88
4.2,2.85
4.0,3.07
4.2,3.18
4.1,3.14
4.3,3.31
4.2,3.36
4.2,3.16
4.0,3.53
3.9,3.53
4.2,3.27
4.0,3.29
4.3,3.33
4.3,3.29
4.4,3.14
4.1,3.12
3.9,3.12
3.9,3.24
4.3,3.2
4.2,3.09
4.2,3.29
3.9,3.07
3.7,3.05
3.9,2.83
4.1,2.88
4.3,2.83
4.2,2.83
4.1,2.61
4.4,2.51
4.5,2.2
5.1,2.07
5.2,1.98
5.8,1.98
6.4,1.81
6.7,1.72
7.4,1.63
7.4,1.66
7.3,1.77
7.5,1.85
7.4,1.85
7.1,1.77
6.7,1.87
6.2,2.0
6.2,1.96
6.0,2.14
5.9,2.26
5.6,2.4
5.2,2.5
5.1,2.61
5.0,2.7
5.1,2.7
5.2,2.57
5.5,2.51
5.7,2.42
5.8,2.53
5.3,2.4
5.2,3.07
4.8,3.07
5.4,2.96
5.2,2.85
5.1,2.81
5.4,2.74
5.5,2.64
5.6,2.61
5.5,2.5
6.1,2.4
6.1,2.35
6.6,2.24
6.6,2.24
6.9,2.2
6.9,2.24
7.0,2.26
7.1,2.35
6.9,2.37
7.0,2.44
6.6,2.53
6.7,2.59
6.5,2.72
6.1,2.81
6.0,2.79
5.8,2.92
5.5,2.87
5.6,2.87
5.6,2.87
5.5,2.96
5.5,2.87
5.4,2.87
5.7,2.79
5.6,2.74
5.4,2.7
5.7,2.7
5.5,2.7
5.7,2.74
5.9,2.74
5.7,2.77
5.7,2.72
5.9,2.66
5.6,2.68
5.6,2.75
5.4,2.72
5.5,2.7
5.5,2.79
5.7,2.74
5.5,2.88
5.6,2.88
5.4,2.83
5.4,2.87
5.3,2.98
5.1,2.98
5.2,3.09
4.9,3.18
5.0,3.12
5.1,3.16
5.1,3.16
4.8,3.31
5.0,3.29
4.9,3.33
5.1,3.46
4.7,3.49
4.8,3.53
4.6,3.66
4.6,3.7
4.4,3.7
4.4,3.83
4.3,3.97
4.2,4.09
4.1,4.36
4.0,4.44
4.0,4.47
3.8,4.58
3.8,4.84
3.8,4.64
3.9,4.68
3.8,4.71
3.8,4.71
3.8,4.64
3.7,4.55
3.7,4.55
3.6,4.53
3.8,4.47
3.9,4.51
3.8,4.47
3.8,4.36
3.8,4.38
3.8,4.34
3.9,4.31
3.8,4.22
3.8,4.33
3.8,4.27
4.0,4.34
3.9,4.31
3.8,4.33
3.7,4.47
3.8,4.38
3.7,4.47
3.5,4.55
3.5,4.53
3.7,4.51
3.7,4.64
3.5,4.73
3.4,4.83
3.4,5.07
3.4,5.05
3.4,4.95
3.4,5.16
3.4,5.12
3.4,5.16
3.4,5.2
3.4,5.21
3.5,4.99
3.5,4.95
3.5,4.84
3.7,5.12
3.7,5.03
3.5,4.92
3.5,4.73
3.9,4.51
4.2,4.46
4.4,4.2
4.6,4.07
4.8,3.83
4.9,3.75
5.0,3.61
5.1,3.57
5.4,3.53
5.5,3.27
5.9,3.25
6.1,3.25
5.9,3.12
5.9,3.22
6.0,3.22
5.9,3.2
5.9,3.24
5.9,3.38
6.0,3.31
6.1,3.33
6.0,3.29
5.8,3.33
6.0,3.38
6.0,3.42
5.8,3.57
5.7,3.64
5.8,3.7
5.7,3.73
5.7,3.79
5.7,3.83
5.6,3.9
5.6,4.03
5.5,4.09
5.6,4.27
5.3,4.34
5.2,4.7
4.9,4.84
5.0,4.79
4.9,4.81
5.0,4.71
4.9,4.77
4.9,4.77
4.8,4.84
4.8,4.73
4.8,4.68
4.6,4.73
4.8,4.68
4.9,4.47
5.1,4.46
5.2,4.34
5.1,4.36
5.1,4.51
5.1,4.44
5.4,4.31
5.5,4.14
5.5,4.05
5.9,3.86
6.0,3.59
6.6,3.31
7.2,3.03
8.1,2.85
8.1,2.79
8.6,2.7
8.8,2.7
9.0,2.68
8.8,2.88
8.6,2.92
8.4,2.88
8.4,2.96
8.4,2.96
8.3,3.07
8.2,3.07
7.9,3.12
7.7,3.29
7.6,3.31
7.7,3.27
7.4,3.35
7.6,3.36
7.8,3.31
7.8,3.31
7.6,3.29
7.7,3.33
7.8,3.38
7.8,3.53
7.5,3.64
7.6,3.62
7.4,3.72
7.2,3.81
7.0,3.9
7.2,3.92
6.9,4.03
7.0,4.1
6.8,4.09
6.8,4.27
6.8,4.38
6.4,4.51
6.4,4.53
6.3,4.57
6.3,4.7
6.1,4.95
6.0,4.9
5.9,4.88
6.2,4.88
5.9,4.95
6.0,5.01
5.8,5.16
5.9,5.1
6.0,5.12
5.9,5.07
5.9,4.94
5.8,4.97
5.8,5.16
5.6,5.12
5.7,5.03
5.7,4.97
6.0,5.03
5.9,5.14
6.0,5.21
5.9,4.88
6.0,4.83
6.3,4.7
6.3,4.58
6.3,4.53
6.9,3.99
7.5,3.66
7.6,3.72
7.8,3.72
7.7,3.73
7.5,3.9
7.5,3.9
7.5,4.07
7.2,3.92
7.5,3.81
7.4,3.86
7.4,3.85
7.2,3.83
7.5,3.77
7.5,3.83
7.2,3.79
7.4,3.75
7.6,3.57
7.9,3.35
8.3,3.33
8.5,3.18
8.6,3.16
8.9,3.03
9.0,2.94
9.3,2.81
9.4,2.77
9.6,2.63
9.8,2.5
9.8,2.42
10.1,2.29
10.4,2.29
10.8,2.29
10.8,2.38
10.4,2.42
10.4,2.42
10.3,2.5
10.2,2.55
10.1,2.77
10.1,2.75
9.4,2.92
9.5,2.96
9.2,3.01
8.8,3.31
8.5,3.31
8.3,3.44
8.0,3.53
7.8,3.68
7.8,3.68
7.7,3.83
7.4,3.86
7.2,3.94
7.5,3.99
7.5,3.86
7.3,3.96
7.4,3.97
7.2,3.92
7.3,4.07
7.3,3.96
7.2,3.97
7.2,4.07
7.3,3.96
7.2,4.05
7.4,4.05
7.4,4.01
7.1,4.03
7.1,4.09
7.1,4.01
7.0,4.09
7.0,3.97
6.7,3.96
7.2,3.94
7.2,3.9
7.1,3.92
7.2,3.85
7.2,4.07
7.0,3.9
6.9,3.94
7.0,3.97
7.0,3.96
6.9,4.12
6.6,3.9
6.6,3.85
6.6,4.07
6.6,4.23
6.3,4.2
6.3,4.29
6.2,4.29
6.1,4.29
6.0,4.47
5.9,4.46
6.0,4.49
5.8,4.55
5.7,4.34
5.7,4.23
5.7,4.29
5.7,4.4
5.4,4.36
5.6,4.46
5.4,4.33
5.4,4.4
5.6,4.4
5.4,4.22
5.4,4.44
5.3,4.29
5.3,4.38
5.4,4.23
5.2,4.23
5.0,4.12
5.2,4.33
5.2,4.14
5.3,3.96
5.2,4.03
5.2,3.99
5.3,3.97
5.3,4.07
5.4,3.9
5.4,4.03
5.4,3.94
5.3,3.77
5.2,3.75
5.4,3.7
5.4,3.61
5.2,3.57
5.5,3.57
5.7,3.42
5.9,3.29
5.9,3.12
6.2,2.9
6.3,2.9
6.4,2.7
6.6,2.61
6.8,2.55
6.7,2.53
6.9,2.53
6.9,2.57
6.8,2.48
6.9,2.44
6.9,2.46
7.0,2.35
7.0,2.38
7.3,2.4
7.3,2.27
7.4,2.37
7.4,2.48
7.4,2.38
7.6,2.46
7.8,2.42
7.7,2.4
7.6,2.46
7.6,2.38
7.3,2.44
7.4,2.51
7.4,2.51
7.3,2.46
7.1,2.55
7.0,2.53
7.1,2.53
7.1,2.63
7.0,2.55
6.9,2.64
6.8,2.7
6.7,2.64
6.8,2.77
6.6,2.79
6.5,2.87
6.6,2.95
6.6,3.08
6.5,3.12
6.4,3.12
6.1,3.24
6.1,3.16
6.1,3.33
6.0,3.18
5.9,3.22
5.8,3.42
5.6,3.37
5.5,3.5
5.6,3.37
5.4,3.38
5.4,3.3
5.8,3.34
5.6,3.11
5.6,3.16
5.7,3.32
5.7,3.29
5.6,3.29
5.5,3.34
5.6,3.22
5.6,3.53
5.6,3.32
5.5,3.24
5.5,3.33
5.6,3.25
5.6,3.12
5.3,3.43
5.5,3.21
5.1,3.22
5.2,3.39
5.2,3.22
5.4,3.49
5.4,3.45
5.3,3.41
5.2,3.55
5.2,3.51
5.1,3.47
4.9,3.27
5.0,3.58
4.9,3.45
4.8,3.51
4.9,3.69
4.7,3.62
4.6,3.85
4.7,3.59
4.6,3.74
4.6,3.84
4.7,3.81
4.3,3.83
4.4,3.84
4.5,3.77
4.5,3.78
4.5,3.84
4.6,3.66
4.5,3.63
4.4,3.83
4.4,3.75
4.3,3.99
4.4,4.05
4.2,3.9
4.3,3.86
4.2,3.93
4.3,3.75
4.3,3.82
4.2,3.84
4.2,3.71
4.1,3.87
4.1,3.84
4.0,3.91
4.0,4.06
4.1,4.13
4.0,4.06
3.8,4.08
4.0,3.82
4.0,3.74
4.0,3.83
4.1,3.6
3.9,3.72
3.9,3.7
3.9,3.56
3.9,3.55
4.2,3.64
4.2,3.55
4.3,3.31
4.4,3.21
4.3,3.09
4.5,3.04
4.6,3.1
4.9,2.81
5.0,2.83
5.3,2.57
5.5,2.62
5.7,2.55
5.7,2.57
5.7,2.38
5.7,2.5
5.9,2.4
5.8,2.39
5.8,2.36
5.8,2.33
5.7,2.43
5.7,2.27
5.7,2.39
5.9,2.42
6.0,2.18
5.8,2.36
5.9,2.21
5.9,2.12
6.0,2.12
6.1,2.25
6.3,2.31
6.2,2.04
6.1,2.18
6.1,2.11
6.0,2.25
5.8,2.26
5.7,2.33
5.7,2.33
5.6,2.41
5.8,2.4
5.6,2.39
5.6,2.52
5.6,2.26
5.5,2.58
5.4,2.4
5.4,2.59
5.5,2.67
5.4,2.34
5.4,2.75
5.3,2.57
5.4,2.67
5.2,2.73
5.2,2.79
5.1,2.54
5.0,2.72
5.0,2.85
4.9,2.77
5.0,2.9
5.0,2.79
5.0,2.83
4.9,2.85
4.7,2.93
