date,u_obs,v_obs,G,s_obs,gdp_real_level
2000-12-01,0.039,0.037000000000000005,,0.039,14198.837336956522
2001-01-01,0.042,0.038,,0.044000000000000004,14183.12
2001-02-01,0.042,0.037000000000000005,,0.039,14213.628822222225
2001-03-01,0.043,0.035,-0.05676377710794292,0.042,14241.185177777776
2001-04-01,0.044000000000000004,0.034,0.02343613218248483,0.040999999999999995,14271.694
2001-05-01,0.043,0.032,-0.06226726957573062,0.040999999999999995,14252.84410989011
2001-06-01,0.045,0.032,-0.1438709432302399,0.04,14233.36589010989
2001-07-01,0.046,0.033,-0.2294461679773134,0.040999999999999995,14214.516
2001-08-01,0.049,0.03,-0.17395291892049336,0.040999999999999995,14227.676847826087
2001-09-01,0.05,0.03,-0.11734745461504235,0.039,14240.837695652172
2001-10-01,0.053,0.027000000000000003,-0.06254402192911768,0.042,14253.574
2001-11-01,0.055,0.027999999999999997,-0.015900400494621013,0.039,14293.742923913043
2001-12-01,0.057,0.027000000000000003,0.028336776583665593,0.037000000000000005,14332.616076086955
2002-01-01,0.057,0.027000000000000003,0.07537543022253088,0.039,14372.785
2002-02-01,0.057,0.026000000000000002,0.057940674190255184,0.038,14403.117811111111
2002-03-01,0.057,0.027000000000000003,0.03780097068398123,0.036000000000000004,14430.515188888889
2002-04-01,0.059000000000000004,0.026000000000000002,0.020540885177797032,0.038,14460.848
2002-05-01,0.057999999999999996,0.026000000000000002,0.0015511061855994562,0.037000000000000005,14480.22767032967
2002-06-01,0.057999999999999996,0.025,-0.011250174350541244,0.037000000000000005,14500.25332967033
2002-07-01,0.057999999999999996,0.025,-0.03012170888940485,0.039,14519.633
2002-08-01,0.057,0.026000000000000002,-0.052911673854846464,0.037000000000000005,14525.680358695652
2002-09-01,0.057,0.025,-0.076761894933936,0.038,14531.727717391304
2002-10-01,0.057,0.026000000000000002,-0.09980197740866982,0.036000000000000004,14537.58
2002-11-01,0.059000000000000004,0.026000000000000002,-0.06630083177405195,0.036000000000000004,14563.37772826087
2002-12-01,0.06,0.024,-0.03428159535072722,0.038,14588.34327173913
2003-01-01,0.057999999999999996,0.026000000000000002,-0.0005927364976319612,0.038,14614.141
2003-02-01,0.059000000000000004,0.024,0.030840816236599285,0.037000000000000005,14658.721066666669
2003-03-01,0.059000000000000004,0.023,0.05628503085673875,0.036000000000000004,14698.986933333332
2003-04-01,0.06,0.023,0.08743728741069492,0.036000000000000004,14743.567
2003-05-01,0.061,0.025,0.14725621185743026,0.036000000000000004,14824.40710989011
2003-06-01,0.063,0.025,0.2182804815904396,0.036000000000000004,14907.941890109889
2003-07-01,0.062,0.022000000000000002,0.27704802675442985,0.036000000000000004,14988.782
2003-08-01,0.061,0.024,0.23840953559545153,0.036000000000000004,15047.40502173913
2003-09-01,0.061,0.023,0.19566639804924615,0.036000000000000004,15106.02804347826
2003-10-01,0.06,0.025,0.15468628676553087,0.036000000000000004,15162.76
2003-11-01,0.057999999999999996,0.025,0.10539548045374811,0.036000000000000004,15191.711304347826
2003-12-01,0.057,0.025,0.0548744997972911,0.037000000000000005,15219.728695652177
2004-01-01,0.057,0.026000000000000002,0.00923405164081594,0.036000000000000004,15248.68
2004-02-01,0.055999999999999994,0.026000000000000002,0.02723504722626947,0.036000000000000004,15288.935714285715
2004-03-01,0.057999999999999996,0.026000000000000002,0.04248547294001297,0.038,15326.594285714284
2004-04-01,0.055999999999999994,0.026000000000000002,0.06033207617522366,0.037000000000000005,15366.85
2004-05-01,0.055999999999999994,0.027000000000000003,0.07233118623410685,0.036000000000000004,15414.905714285716
2004-06-01,0.055999999999999994,0.025,0.0910040047887745,0.037000000000000005,15464.563285714286
2004-07-01,0.055,0.027999999999999997,0.10284721488352142,0.037000000000000005,15512.619
2004-08-01,0.054000000000000006,0.026000000000000002,0.11048821478105632,0.037000000000000005,15565.946076086955
2004-09-01,0.054000000000000006,0.027999999999999997,0.11552123570994603,0.037000000000000005,15619.273152173912
2004-10-01,0.055,0.028999999999999998,0.1203602537245413,0.036000000000000004,15670.88
2004-11-01,0.054000000000000006,0.026000000000000002,0.12775258926940256,0.039,15729.458880434782
2004-12-01,0.054000000000000006,0.03,0.13213633131959224,0.037000000000000005,15786.148119565218
2005-01-01,0.053,0.027999999999999997,0.14214554504473412,0.038,15844.727
2005-02-01,0.054000000000000006,0.028999999999999998,0.0918725039740119,0.038,15871.612611111112
2005-03-01,0.052000000000000005,0.028999999999999998,0.0407852330388547,0.039,15895.896388888888
2005-04-01,0.052000000000000005,0.03,-0.00895091236928742,0.037000000000000005,15922.782
2005-05-01,0.051,0.027999999999999997,0.01291169318312457,0.038,15963.926505494504
2005-06-01,0.05,0.028999999999999998,0.04083899451243665,0.038,16006.442494505494
2005-07-01,0.05,0.031,0.062503588384938,0.037000000000000005,16047.587
2005-08-01,0.049,0.03,0.04495576361156859,0.039,16077.625663043478
2005-09-01,0.05,0.031,0.025369704431236775,0.04,16107.664326086957
2005-10-01,0.05,0.03,0.0064995805681297095,0.037000000000000005,16136.734
2005-11-01,0.05,0.031,0.07201687673485707,0.037000000000000005,16209.887597826088
2005-12-01,0.049,0.031,0.1335382166309503,0.038,16280.681402173912
2006-01-01,0.047,0.031,0.19972508576262263,0.037000000000000005,16353.835
2006-02-01,0.048,0.031,0.11002512398488203,0.039,16368.410511111111
2006-03-01,0.047,0.034,0.022261437992064547,0.039,16381.57548888889
2006-04-01,0.047,0.034,-0.06649036356250576,0.037000000000000005,16396.151
2006-05-01,0.046,0.032,-0.07628517288850072,0.04,16404.256604395607
2006-06-01,0.046,0.033,-0.0835335832852348,0.039,16412.632395604396
2006-07-01,0.047,0.031,-0.09330340761415155,0.039,16420.738
2006-08-01,0.047,0.033,-0.034094933642706306,0.038,16468.292
